"CountryState";"Binomial";"IntrodDate"
"COMOROS";"Numida meleagris";1842
"COMOROS";"Padda oryzivora";1982
"COMOROS";"Passer domesticus";1879
"COMOROS";"Streptopelia capicola";2003
"COMOROS";"Turtur tympanistria";2003
"CONGO, THE DEMOCRATIC REPUBLIC OF THE";"Passer domesticus";1975
"COOK ISLANDS";"Acridotheres tristis";1905
"COOK ISLANDS";"Columba livia";1987
"COOK ISLANDS";"Gallus gallus";990
"COOK ISLANDS";"Pomarea dimidiata";2001
"COSTA RICA";"Columba livia";1989
"COSTA RICA";"Icterus pectoralis";1998
"COSTA RICA";"Passer domesticus";1974
"CôTE D'IVOIRE";"Columba livia";1996
"CôTE D'IVOIRE";"Psittacula krameri";1982
"CROATIA";"Colinus virginianus";1960
"CROATIA";"Columba livia";1996
"CROATIA";"Phasianus colchicus";1998
"CUBA";"Branta canadensis";2010
"CUBA";"Carduelis psaltria";1981
"CUBA";"Colinus virginianus";1790
"CUBA";"Columba livia";2005
"CUBA";"Dendrocygna autumnalis";1931
"CUBA";"Gallus gallus";1981
"CUBA";"Lonchura malacca";1989
"CUBA";"Lonchura punctulata";1998
"CUBA";"Numida meleagris";1981
"CUBA";"Passer domesticus";1850
"CUBA";"Phasianus colchicus";1998
"CUBA";"Psittacula krameri";2005
"CUBA";"Streptopelia decaocto";1998
"CUBA";"Sturnus vulgaris";1998
"CYPRUS";"Columba livia";1996
"CYPRUS";"Cygnus olor";2003
"CYPRUS";"Streptopelia decaocto";1998
"CZECH REPUBLIC";"Columba livia";1996
"CZECH REPUBLIC";"Myiopsitta monachus";1988
"CZECH REPUBLIC";"Phasianus colchicus";1050
"CZECH REPUBLIC";"Syrmaticus reevesii";1850
"DENMARK";"Branta canadensis";1930
"DENMARK";"Columba livia";1996
"DENMARK";"Phasianus colchicus";1750
"DJIBOUTI";"Corvus splendens";1957
"DOMINICA";"Aratinga pertinax";2005
"DOMINICA";"Columba livia";2005
"DOMINICA";"Icterus icterus";1986
"DOMINICA";"Streptopelia decaocto";2005
"DOMINICAN REPUBLIC";"Branta canadensis";2010
"DOMINICAN REPUBLIC";"Cathartes aura";1932
"DOMINICAN REPUBLIC";"Colinus virginianus";1890
"DOMINICAN REPUBLIC";"Columba livia";2005
"DOMINICAN REPUBLIC";"Gallus gallus";1998
"DOMINICAN REPUBLIC";"Lonchura punctulata";1978
"DOMINICAN REPUBLIC";"Melopsittacus undulatus";1998
"DOMINICAN REPUBLIC";"Molothrus bonariensis";1972
"DOMINICAN REPUBLIC";"Myiopsitta monachus";1998
"DOMINICAN REPUBLIC";"Numida meleagris";1732
"DOMINICAN REPUBLIC";"Passer domesticus";1998
"DOMINICAN REPUBLIC";"Phasianus colchicus";1955
"DOMINICAN REPUBLIC";"Ploceus cucullatus";1935
"ECUADOR";"Bubulcus ibis";1960
"ECUADOR";"Columba livia";1972
"ECUADOR";"Crotophaga ani";1961
"ECUADOR";"Gallus gallus";1872
"ECUADOR";"Lonchura atricapilla";2010
"ECUADOR";"Passer domesticus";1969
"EGYPT";"Amandava amandava";1861
"EGYPT";"Columba livia";1996
"EGYPT";"Corvus splendens";1890
"EGYPT";"Ploceus manyar";1979
"EGYPT";"Psittacula krameri";1890
"EGYPT";"Streptopelia decaocto";1982
"EL SALVADOR";"Columba livia";2005
"EL SALVADOR";"Passer domesticus";1972
"EQUATORIAL GUINEA";"Lonchura cucullata";1981
"EQUATORIAL GUINEA";"Numida meleagris";2005
"EQUATORIAL GUINEA";"Serinus mozambicus";1968
"ERITREA";"Columba livia";1996
"ERITREA";"Corvus splendens";1950
"ETHIOPIA";"Columba livia";1996
"ETHIOPIA";"Lonchura fringilloides";1971
"FALKLAND ISLANDS (MALVINAS)";"Anas platyrhynchos";1935
"FALKLAND ISLANDS (MALVINAS)";"Passer domesticus";1919
"FAROE ISLANDS";"Branta canadensis";1984
"FAROE ISLANDS";"Cygnus olor";1940
"FIJI ISLAND";"Acridotheres fuscus";1890
"FIJI ISLAND";"Acridotheres tristis";1850
"FIJI ISLAND";"Amandava amandava";1900
"FIJI ISLAND";"Columba livia";1839
"FIJI ISLAND";"Coturnix ypsilophora";1884
"FIJI ISLAND";"Gallus gallus";1978
"FIJI ISLAND";"Gymnorhina tibicen";1883
"FIJI ISLAND";"Neochmia temporalis";2010
"FIJI ISLAND";"Padda oryzivora";1925
"FIJI ISLAND";"Prosopeia splendens";1998
"FIJI ISLAND";"Pycnonotus cafer";1900
"FIJI ISLAND";"Stigmatopelia chinensis";1900
"FIJI ISLAND";"Sturnus vulgaris";1925
"FINLAND";"Anser indicus";1982
"FINLAND";"Branta canadensis";1960
"FINLAND";"Branta hutchinsii";1965
"FINLAND";"Branta leucopsis";1980
"FINLAND";"Columba livia";1557
"FINLAND";"Cygnus olor";1931
"FINLAND";"Phasianus colchicus";1900
"FRANCE";"Aix galericulata";1650
"FRANCE";"Alectoris chukar";2005
"FRANCE";"Branta canadensis";1955
"FRANCE";"Branta hutchinsii";1955
"FRANCE";"Callipepla californica";1961
"FRANCE";"Colinus virginianus";1816
"FRANCE";"Columba livia";1996
"FRANCE";"Cygnus olor";1690
"FRANCE";"Foudia madagascariensis";2005
"FRANCE";"Geopelia striata";1969
"FRANCE";"Leiothrix lutea";2004
"FRANCE";"Lonchura malabarica";1988
"FRANCE";"Numida meleagris";1998
"FRANCE";"Oxyura jamaicensis";1986
"FRANCE";"Passer domesticus";1999
"FRANCE";"Phasianus colchicus";1530
"FRANCE";"Phasianus versicolor";1850
"FRANCE";"Psittacula krameri";1989
"FRANCE";"Quiscalus lugubris";1911
"FRANCE";"Syrmaticus reevesii";1972
"FRANCE";"Threskiornis aethiopicus";1975
"FRANCE";"Turnix nigricollis";1975
"FRENCH GUIANA";"Passer domesticus";1994
"FRENCH POLYNESIA";"Acridotheres tristis";1910
"FRENCH POLYNESIA";"Anas platyrhynchos";1981
"FRENCH POLYNESIA";"Bubo virginianus";1927
"FRENCH POLYNESIA";"Circus aeruginosus";1883
"FRENCH POLYNESIA";"Circus approximans";1885
"FRENCH POLYNESIA";"Columba livia";1950
"FRENCH POLYNESIA";"Estrilda astrild";1908
"FRENCH POLYNESIA";"Estrilda troglodytes";1982
"FRENCH POLYNESIA";"Geopelia striata";1950
"FRENCH POLYNESIA";"Lonchura castaneothorax";1850
"FRENCH POLYNESIA";"Lonchura punctulata";2010
"FRENCH POLYNESIA";"Mimus polyglottos";1992
"FRENCH POLYNESIA";"Neochmia temporalis";1850
"FRENCH POLYNESIA";"Pycnonotus cafer";1970
"FRENCH POLYNESIA";"Ramphocelus dimidiatus";1930
"FRENCH POLYNESIA";"Vini ultramarina";1940
"FRENCH POLYNESIA";"Zosterops japonicus";1938
"FRENCH POLYNESIA";"Zosterops lateralis";1935
"FRENCH SOUTHERN TERRITORIES";"Anas acuta";1981
"FRENCH SOUTHERN TERRITORIES";"Anas platyrhynchos";1988
"FRENCH SOUTHERN TERRITORIES";"Estrilda astrild";1980
"FRENCH SOUTHERN TERRITORIES";"Estrilda perreini";1977
"FRENCH SOUTHERN TERRITORIES";"Geopelia striata";2005
"GAMBIA";"Columba livia";1996
"GAMBIA";"Passer domesticus";1990
"GEORGIA";"Columba livia";1996
"GEORGIA";"Phasianus colchicus";1998
"GERMANY";"Aix galericulata";1900
"GERMANY";"Alopochen aegyptiaca";1955
"GERMANY";"Anser cygnoides";1975
"GERMANY";"Anser indicus";1968
"GERMANY";"Branta canadensis";1910
"GERMANY";"Branta hutchinsii";1955
"GERMANY";"Branta leucopsis";1975
"GERMANY";"Columba livia";1996
"GERMANY";"Cygnus atratus";1963
"GERMANY";"Cygnus olor";1850
"GERMANY";"Meleagris gallopavo";1530
"GERMANY";"Myiopsitta monachus";1892
"GERMANY";"Phasianus colchicus";1050
"GERMANY";"Phoenicopterus chilensis";1985
"GERMANY";"Phoenicopterus ruber";1985
"GERMANY";"Psittacula krameri";1965
"GERMANY";"Tadorna ferruginea";1955
"GHANA";"Columba livia";2005
"GIBRALTAR";"Alectoris barbara";1771
"GIBRALTAR";"Columba livia";1996
"GIBRALTAR";"Estrilda astrild";2003
"GIBRALTAR";"Estrilda troglodytes";1982
"GIBRALTAR";"Euplectes orix";2003
"GIBRALTAR";"Phasianus colchicus";1998
"GREECE";"Alectoris rufa";1979
"GREECE";"Columba livia";1996
"GREECE";"Cygnus olor";1967
"GREECE";"Phasianus colchicus";1998
"GREECE";"Psittacula krameri";2003
"GRENADA";"Columba livia";2005
"GRENADA";"Sicalis luteola";1988
"GUADELOUPE";"Amandava amandava";1965
"GUADELOUPE";"Aratinga pertinax";1998
"GUADELOUPE";"Columba livia";2005
"GUADELOUPE";"Estrilda melpoda";1998
"GUADELOUPE";"Estrilda troglodytes";1968
"GUADELOUPE";"Euplectes franciscanus";1998
"GUADELOUPE";"Lonchura punctulata";1984
"GUADELOUPE";"Melopsittacus undulatus";1998
"GUADELOUPE";"Molothrus bonariensis";1959
"GUADELOUPE";"Myiopsitta monachus";1998
"GUADELOUPE";"Passer domesticus";1999
"GUADELOUPE";"Sicalis luteola";1920
"GUADELOUPE";"Streptopelia decaocto";1975
"GUAM";"Columba livia";1987
"GUAM";"Coturnix chinensis";1894
"GUAM";"Francolinus francolinus";1961
"GUAM";"Gallus gallus";2005
"GUAM";"Lonchura atricapilla";2000
"GUAM";"Lonchura malacca";1979
"GUAM";"Passer montanus";1940
"GUAM";"Streptopelia bitorquata";1771
"GUATEMALA";"Columba livia";2005
"GUATEMALA";"Passer domesticus";1970
"GUINEA";"Columba livia";1996
"GUINEA-BISSAU";"Columba livia";1996
"HAITI";"Branta canadensis";2010
"HAITI";"Cathartes aura";1932
"HAITI";"Colinus virginianus";1700
"HAITI";"Columba livia";2005
"HAITI";"Molothrus bonariensis";1996
"HAITI";"Numida meleagris";1732
"HAITI";"Passer domesticus";1998
"HAITI";"Ploceus cucullatus";1512
"HONDURAS";"Columba livia";2005
"HONDURAS";"Passer domesticus";1977
"HONGKONG";"Acridotheres tristis";1952
"HONGKONG";"Alcippe morrisonia";1999
"HONGKONG";"Babax lanceolatus";1959
"HONGKONG";"Cacatua sulphurea";1960
"HONGKONG";"Chalcophaps indica";1981
"HONGKONG";"Columba livia";1952
"HONGKONG";"Corvus splendens";1974
"HONGKONG";"Garrulax chinensis";1913
"HONGKONG";"Garrulax pectoralis";1969
"HONGKONG";"Garrulax sannio";1941
"HONGKONG";"Leiothrix argentauris";1970
"HONGKONG";"Leiothrix lutea";1913
"HONGKONG";"Lonchura atricapilla";2010
"HONGKONG";"Lonchura malacca";1996
"HONGKONG";"Melopsittacus undulatus";2006
"HONGKONG";"Minla cyanouroptera";1913
"HONGKONG";"Padda oryzivora";1861
"HONGKONG";"Paradoxornis webbianus";1971
"HONGKONG";"Parus spilonotus";1988
"HONGKONG";"Passer montanus";1878
"HONGKONG";"Ploceus philippinus";1993
"HONGKONG";"Pomatorhinus ruficollis";1949
"HONGKONG";"Psittacula krameri";1902
"HONGKONG";"Pycnonotus jocosus";1861
"HONGKONG";"Sitta frontalis";1985
"HONGKONG";"Stachyris ruficeps";1958
"HONGKONG";"Trichoglossus haematodus";2006
"HUNGARY";"Columba livia";1996
"HUNGARY";"Phasianus colchicus";1500
"INDIA";"Acridotheres fuscus";1981
"INDIA";"Acridotheres tristis";1858
"INDIA";"Columba livia";1898
"INDIA";"Corvus splendens";1860
"INDIA";"Francolinus francolinus";1954
"INDIA";"Francolinus pondicerianus";1890
"INDIA";"Gallus gallus";1601
"INDIA";"Padda oryzivora";1909
"INDIA";"Passer domesticus";1882
"INDIA";"Passer montanus";1973
"INDIA";"Pavo cristatus";1868
"INDIA";"Psittacula eupatria";2008
"INDIA";"Psittacula krameri";2005
"INDIA";"Pycnonotus jocosus";1964
"INDIA";"Sturnus contra";2009
"INDIA";"Sturnus erythropygius";1998
"INDONESIA";"Acridotheres cinereus";1987
"INDONESIA";"Acridotheres javanicus";1998
"INDONESIA";"Acridotheres tristis";1988
"INDONESIA";"Amandava amandava";1947
"INDONESIA";"Cacatua alba";1998
"INDONESIA";"Cacatua galerita";1979
"INDONESIA";"Casuarius casuarius";1992
"INDONESIA";"Columba livia";1986
"INDONESIA";"Eclectus roratus";1980
"INDONESIA";"Eos reticulata";1998
"INDONESIA";"Gallus gallus";1997
"INDONESIA";"Geopelia striata";1935
"INDONESIA";"Goura cristata";2001
"INDONESIA";"Lonchura atricapilla";1980
"INDONESIA";"Lonchura malacca";1961
"INDONESIA";"Macrocephalon maleo";1997
"INDONESIA";"Padda oryzivora";1840
"INDONESIA";"Passer montanus";1935
"INDONESIA";"Psittacula alexandri";1945
"INDONESIA";"Pycnonotus aurigaster";1930
"INDONESIA";"Pycnonotus goiavier";1977
"INDONESIA";"Stigmatopelia chinensis";1835
"INDONESIA";"Streptopelia tranquebarica";2001
"INDONESIA";"Tanygnathus lucionensis";1977
"IRAN, ISLAMIC REPUBLIC OF";"Columba livia";1996
"IRAN, ISLAMIC REPUBLIC OF";"Corvus splendens";1994
"IRAN, ISLAMIC REPUBLIC OF";"Psittacula krameri";1973
"IRAQ";"Columba livia";1996
"IRELAND";"Branta canadensis";1955
"IRELAND";"Branta hutchinsii";1955
"IRELAND";"Columba livia";1350
"IRELAND";"Phasianus colchicus";1600
"ISRAEL";"Acridotheres tristis";1987
"ISRAEL";"Amandava amandava";1982
"ISRAEL";"Cairina moschata";1985
"ISRAEL";"Columba livia";1996
"ISRAEL";"Corvus splendens";1975
"ISRAEL";"Myiopsitta monachus";2002
"ISRAEL";"Nandayus nenday";1975
"ISRAEL";"Oena capensis";2007
"ISRAEL";"Psittacula eupatria";2008
"ISRAEL";"Psittacula krameri";1960
"ISRAEL";"Stigmatopelia senegalensis";1850
"ITALY";"Alectoris barbara";2003
"ITALY";"Alectoris chukar";1930
"ITALY";"Amandava amandava";1975
"ITALY";"Anser indicus";1969
"ITALY";"Branta canadensis";1968
"ITALY";"Callipepla californica";2005
"ITALY";"Colinus virginianus";1927
"ITALY";"Columba livia";1996
"ITALY";"Cygnus atratus";1979
"ITALY";"Cygnus olor";1967
"ITALY";"Francolinus erckelii";1948
"ITALY";"Francolinus francolinus";2002
"ITALY";"Myiopsitta monachus";1969
"ITALY";"Oxyura jamaicensis";1988
"ITALY";"Paradoxornis alphonsianus";1995
"ITALY";"Passer montanus";1890
"ITALY";"Phasianus colchicus";1750
"ITALY";"Pica pica";2003
"ITALY";"Porphyrio porphyrio";1976
"ITALY";"Psittacula krameri";1975
"ITALY";"Streptopelia roseogrisea";2003
"ITALY";"Threskiornis aethiopicus";1975
"JAMAICA";"Branta canadensis";2010
"JAMAICA";"Columba livia";2005
"JAMAICA";"Euplectes afer";1989
"JAMAICA";"Euplectes franciscanus";1998
"JAMAICA";"Forpus passerinus";1918
"JAMAICA";"Lonchura atricapilla";2000
"JAMAICA";"Lonchura malacca";1988
"JAMAICA";"Lonchura punctulata";1998
"JAMAICA";"Melopsittacus undulatus";1998
"JAMAICA";"Molothrus bonariensis";2003
"JAMAICA";"Padda oryzivora";1903
"JAMAICA";"Passer domesticus";1903
"JAMAICA";"Sicalis flaveola";1820
"JAMAICA";"Sturnus vulgaris";1903
"JAPAN";"Acridotheres cristatellus";1978
"JAPAN";"Acridotheres tristis";1999
"JAPAN";"Amandava amandava";1935
"JAPAN";"Bambusicola thoracicus";1915
"JAPAN";"Columba livia";1350
"JAPAN";"Cygnus atratus";1955
"JAPAN";"Cygnus olor";1977
"JAPAN";"Estrilda melpoda";2000
"JAPAN";"Estrilda troglodytes";2000
"JAPAN";"Garrulax canorus";1981
"JAPAN";"Garrulax cineraceus";2006
"JAPAN";"Garrulax perspicillatus";2005
"JAPAN";"Garrulax sannio";1994
"JAPAN";"Leiothrix lutea";1980
"JAPAN";"Lonchura atricapilla";1909
"JAPAN";"Lonchura maja";2010
"JAPAN";"Lonchura malacca";1870
"JAPAN";"Lonchura punctulata";1970
"JAPAN";"Lonchura striata";1985
"JAPAN";"Melopsittacus undulatus";2004
"JAPAN";"Padda oryzivora";1650
"JAPAN";"Paroaria coronata";2000
"JAPAN";"Pavo cristatus";2009
"JAPAN";"Phasianus colchicus";1919
"JAPAN";"Pica pica";1590
"JAPAN";"Psittacula krameri";1981
"JAPAN";"Streptopelia decaocto";1800
"JAPAN";"Sturnus contra";2000
"JAPAN";"Syrmaticus reevesii";1959
"JAPAN";"Vidua paradisaea";2000
"JAPAN";"Zosterops japonicus";2009
"JORDAN";"Columba livia";1996
"JORDAN";"Corvus splendens";1993
"JORDAN";"Oena capensis";2007
"JORDAN";"Psittacula eupatria";2008
"KAZAKHSTAN";"Acridotheres tristis";1998
"KAZAKHSTAN";"Columba livia";1996
"KAZAKHSTAN";"Stigmatopelia senegalensis";1960
"KAZAKHSTAN";"Tetrao urogallus";1912
"KENYA";"Agapornis canus";1989
"KENYA";"Agapornis fischeri";1959
"KENYA";"Agapornis personatus";1959
"KENYA";"Columba livia";1982
"KENYA";"Corvus splendens";1890
"KENYA";"Passer domesticus";1950
"KENYA";"Psittacula krameri";1969
"KIRIBATI";"Acridotheres tristis";2005
"KIRIBATI";"Columba livia";1987
"KIRIBATI";"Gallicolumba stairi";1940
"KIRIBATI";"Vini kuhlii";1797
"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF";"Columba livia";1996
"KOREA, REPUBLIC OF";"Columba livia";1996
"KUWAIT";"Acridotheres tristis";1981
"KUWAIT";"Columba livia";1996
"KUWAIT";"Corvus splendens";1972
"KUWAIT";"Psittacula krameri";1973
"KUWAIT";"Pycnonotus cafer";1983
"KYRGYZSTAN";"Columba livia";1996
"LAO PEOPLE'S DEMOCRATIC REPUBLIC";"Columba livia";1996
"LAO PEOPLE'S DEMOCRATIC REPUBLIC";"Geopelia striata";2005
"LATVIA";"Cygnus olor";1935
"LATVIA";"Phasianus colchicus";1998
"LEBANON";"Columba livia";1996
"LESOTHO";"Acridotheres tristis";1888
"LESOTHO";"Columba livia";1996
"LESOTHO";"Passer domesticus";1885
"LIBERIA";"Columba livia";1996
"LIBERIA";"Passer domesticus";1988
"LIBYAN ARAB JAMAHIRIYA";"Columba livia";1996
"LIECHTENSTEIN";"Columba livia";1996
"LITHUANIA";"Phasianus colchicus";1998
"LUXEMBOURG";"Columba livia";1996
"LUXEMBOURG";"Phasianus colchicus";1998
"MACAO";"Psittacula krameri";1902
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF";"Columba livia";1996
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF";"Phasianus colchicus";1998
"MADAGASCAR";"Acridotheres tristis";1758
"MADAGASCAR";"Anas platyrhynchos";1895
"MADAGASCAR";"Cairina moschata";1895
"MADAGASCAR";"Columba livia";1818
"MADAGASCAR";"Geopelia striata";1935
"MADAGASCAR";"Numida meleagris";2012
"MADAGASCAR";"Passer domesticus";1983
"MALAWI";"Passer domesticus";1967
"MALAYSIA";"Acridotheres cinereus";1978
"MALAYSIA";"Acridotheres cristatellus";1919
"MALAYSIA";"Acridotheres grandis";1982
"MALAYSIA";"Acridotheres javanicus";1969
"MALAYSIA";"Acridotheres tristis";1919
"MALAYSIA";"Amandava amandava";1969
"MALAYSIA";"Columba livia";1993
"MALAYSIA";"Corvus splendens";1890
"MALAYSIA";"Gallus gallus";1290
"MALAYSIA";"Geopelia striata";1965
"MALAYSIA";"Lonchura punctulata";1974
"MALAYSIA";"Padda oryzivora";1859
"MALAYSIA";"Passer montanus";1964
"MALAYSIA";"Psittacula alexandri";1945
"MALAYSIA";"Pycnonotus jocosus";2005
"MALAYSIA";"Tanygnathus lucionensis";1961
"MALAYSIA";"Tyto alba";1869
"MALDIVES";"Acridotheres tristis";1995
"MALDIVES";"Passer domesticus";1984
"MALDIVES";"Psittacula krameri";2005
"MALI";"Columba livia";1996
"MALTA";"Passer montanus";1950
"MALTA";"Psittacula krameri";1997
"MALTA";"Stigmatopelia senegalensis";1967
"MARSHALL ISLANDS";"Passer domesticus";1988
"MARSHALL ISLANDS";"Passer montanus";1945
"MARSHALL ISLANDS";"Pycnonotus cafer";2000
"MARTINIQUE";"Amandava amandava";1970
"MARTINIQUE";"Aratinga pertinax";1998
"MARTINIQUE";"Columba livia";2005
"MARTINIQUE";"Estrilda melpoda";1998
"MARTINIQUE";"Estrilda troglodytes";1998
"MARTINIQUE";"Euplectes franciscanus";1981
"MARTINIQUE";"Lonchura atricapilla";2010
"MARTINIQUE";"Lonchura malacca";1979
"MARTINIQUE";"Lonchura punctulata";1995
"MARTINIQUE";"Molothrus bonariensis";2003
"MARTINIQUE";"Oryzoborus angolensis";1983
"MARTINIQUE";"Ploceus cucullatus";1962
"MARTINIQUE";"Sicalis luteola";1920
"MARTINIQUE";"Streptopelia decaocto";1976
"MAURITANIA";"Columba livia";1996
"MAURITANIA";"Passer domesticus";1961
"MAURITIUS";"Acridotheres tristis";1760
"MAURITIUS";"Agapornis canus";1960
"MAURITIUS";"Alopochen aegyptiaca";1990
"MAURITIUS";"Anas melleri";1850
"MAURITIUS";"Anas platyrhynchos";1930
"MAURITIUS";"Columba livia";1715
"MAURITIUS";"Corvus splendens";1610
"MAURITIUS";"Coturnix coturnix";1864
"MAURITIUS";"Cygnus atratus";1983
"MAURITIUS";"Dendrocygna viduata";1810
"MAURITIUS";"Estrilda astrild";1750
"MAURITIUS";"Foudia madagascariensis";1750
"MAURITIUS";"Foudia rubra";1773
"MAURITIUS";"Francolinus pintadeanus";1750
"MAURITIUS";"Francolinus pondicerianus";1739
"MAURITIUS";"Geopelia striata";1750
"MAURITIUS";"Lonchura punctulata";1750
"MAURITIUS";"Nesoenas picturata";1750
"MAURITIUS";"Numida meleagris";1720
"MAURITIUS";"Padda oryzivora";1982
"MAURITIUS";"Paroaria dominicana";1900
"MAURITIUS";"Passer domesticus";1851
"MAURITIUS";"Ploceus cucullatus";1886
"MAURITIUS";"Psittacula krameri";1886
"MAURITIUS";"Pycnonotus jocosus";1880
"MAURITIUS";"Serinus mozambicus";1750
"MAURITIUS";"Stigmatopelia chinensis";1769
"MAURITIUS";"Stigmatopelia senegalensis";1987
"MAYOTTE";"Acridotheres tristis";2003
"MAYOTTE";"Agapornis canus";2003
"MAYOTTE";"Columba livia";2003
"MAYOTTE";"Foudia madagascariensis";2003
"MAYOTTE";"Nesoenas picturata";2003
"MAYOTTE";"Numida meleagris";2003
"MAYOTTE";"Passer domesticus";2004
"MAYOTTE";"Streptopelia capicola";2003
"MAYOTTE";"Turtur tympanistria";2003
"MEXICO";"Alectoris chukar";2005
"MEXICO";"Amazona albifrons";2007
"MEXICO";"Amazona autumnalis";2007
"MEXICO";"Amazona oratrix";1998
