degreeOfEstablishment_standard,degreeOfEstablishment_var,,,
native,native,,,
captive,captive; alien/exotic (in captivity); captive; alien/exotic (in captivity); In captivity/culture; alien (reported as captive/cultivated),,,
cultivated,cultivated; In captivity/culture; alien (reported as captive/cultivated); introduced (reported as captive/cultivated to present); alien/exotic (cultivated),,,
released,Released; Remnant of cultivation,,,
failing,failing,,,
casual,casual; Extinct casual; Cat; New casual; Old casual; cs; cas; cas o; cas wool|  geraniaceae; cas wool geraniaceae; cas wool|grain|  geraniaceae; cas grain geraniaceae; cas grain|wool|  brassicaceae; cas wool brassicaceae; cas brassicaceae; cas hort apiaceae; cas grain brassicaceae; cas wool|grain|  brassicaceae; cas hort brassicaceae; cas hort liliaceae; cas hort papaveraceae; cas grain|  brassicaceae; cas hort celastraceae; cas hort asteraceae; cas wool| ; cas hort; cas wool; cas agric|grain; cas wool|seeds|  fabaceae; cas grain; cas grain|wool|  fabaceae; cas grain|seeds|  fabaceae; cas wool|grain; cas grain| ; cas agric; cas seeds; cas grain|birdseed fabaceae,,,
reproducing,breeding; introduced/alien (established and expanding),,,
established,"Established; naturalized; partly naturalised; alien/exotic (naturalised); natruralised; nt; alien (established); Nat; locally naturalised; established,  weed of agricultural impact; Naturalised, cryptogenic; Nat inv; established, potentially invasive; alien (established to widespread); introduced/alien (established)",,,
colonising,colonising,,,
invasive,invasive; Inv; Invasiv; naturalised|cryptogenic|invasive; Naturalised, invasive; Established invasive; established, invasive;,,,
widespreadInvasive,widespreadInvasiv; introduced/alien (widespread); introduced (widespread),,,
extinct,extinct; ext,,,