"Original entry";"Current entry";"Number of entries";"Entry_final"
"alien (established to widespread)";"established";1;"established"
"alien/exotic (cultivated)";"alien/exotic (cultivated)";1;"alien"
"alien/exotic (naturalised?)";"alien/exotic (naturalised?)";1;"established"
"alien (introduced, not established)";"casual";1;"casual"
"alien (present to reported)";"alien (present to reported)";1;"alien"
"alien (reported as captive/cultivated)";"alien (reported as captive/cultivated)";1;"casual"
"alien (reported) (introduced, not established)";"casual";1;"casual"
"Cas. Agric.";"Cas. Agric.";1;"casual"
"Cas. Agric., grain";"Cas. Agric., grain";1;"casual"
"Cas. ? Brassicaceae";"Cas. ? Brassicaceae";1;"casual"
"Cas. ?";"Cas. ?";1;"casual"
"Cas.?";"Cas.?";1;"casual"
"Cas. Grain, birdseed Fabaceae";"Cas. Grain, birdseed Fabaceae";1;"casual"
"Cas. Grain,â€¦ Brassicaceae";"Cas. Grain,â€¦ Brassicaceae";1;"casual"
"Cas. Grain? Brassicaceae";"casual";1;"casual"
"Cas. Grain Geraniaceae";"casual";1;"casual"
"Cas. Grain, seeds,â€¦ Fabaceae";"Cas. Grain, seeds,â€¦ Fabaceae";1;"casual"
"Cas. Hort.? Asteraceae";"casual";1;"casual"
"Cas. Hort. Brassicaceae";"Cas. Hort. Brassicaceae";1;"casual"
"Cas. Hort.?";"Cas. Hort.?";1;"casual"
"Cas.? Hort. Celastraceae";"casual";1;"casual"
"Cas. Hort. Liliaceae";"Cas. Hort. Liliaceae";1;"casual"
"Cas. Hort. Papaveraceae";"Cas. Hort. Papaveraceae";1;"casual"
"Cas. Seeds";"Cas. Seeds";1;"casual"
"Cas. Wool Geraniaceae";"Cas. Wool Geraniaceae";1;"casual"
"Cas. Wool,â€¦ Geraniaceae";"Cas. Wool,â€¦ Geraniaceae";1;"casual"
"Cas. Wool, grain,â€¦ Brassicaceae";"Cas. Wool, grain,â€¦ Brassicaceae";1;"casual"
"Cas. Wool, grain,â€¦ Geraniaceae";"Cas. Wool, grain,â€¦ Geraniaceae";1;"casual"
"Cas. Wool, seeds,â€¦ Fabaceae";"Cas. Wool, seeds,â€¦ Fabaceae";1;"casual"
"eradicated?";"eradicated?";1;"eradicated"
"eradicated/extinct";"eradicated/extinct";1;"extinct"
"established and declining / established and expanding";"established and declining / established and expanding";1;"established"
"established and eradicated";"established and eradicated";1;"eradicated"
"established";"established";1;"established"
"Ext./Cas. Hort.";"Ext./Cas. Hort.";1;"extinct"
"Ext./Cas. Wool,â€¦ Geraniaceae";"Ext./Cas. Wool,â€¦ Geraniaceae";1;"extinct"
"Ext.";"Ext.";1;"extinct"
"introduced/alien (established and expanding)";"established";1;"established"
"introduced/alien (establishment uncertain)";"introduced/alien (establishment uncertain)";1;"alien"
"introduced/alien (present/controlled)";"introduced/alien (present/controlled)";1;"alien"
"introduced/alien (reported to restricted distribution)";"introduced/alien (reported to restricted distribution)";1;"alien"
"introduced/alien (reported to widespread)";"introduced/alien (reported to widespread)";1;"alien"
"introduced (reported as captive/cultivated to present)";"introduced (reported as captive/cultivated to present)";1;"alien"
"introduced (reported to present)";"introduced (reported to present)";1;"alien"
"introduced (restricted distribution)";"introduced (restricted distribution)";1;"alien"
"introduced (widespread)";"introduced (widespread)";1;"established"
"Inv.";"Inv.";1;"invasive"
"Nat. Agric.";"Nat. Agric.";1;"established"
"nat";"established";1;"established"
"Nat. Grain,â€¦";"Nat. Grain,â€¦";1;"established"
"Nat. Hort. Asteraceae";"established";1;"established"
"Nat. Hort. Brassicaceae";"Nat. Hort. Brassicaceae";1;"established"
"Nat. Hort. Celastraceae";"Nat. Hort. Celastraceae";1;"established"
"Nat. Hort.";"Nat. Hort.";1;"established"
"Not established";"Not established";1;"casual"
"present";"present";1;"alien"
"Uncertain";"Uncertain";1;"alien"
"Cas. Grain,â€¦";"Cas. Grain,â€¦";2;"casual"
"Cas. Grain, wool,â€¦ Brassicaceae";"Cas. Grain, wool,â€¦ Brassicaceae";2;"casual"
"Cas. Hort. Apiaceae";"Cas. Hort. Apiaceae";2;"casual"
"Cas. Wool Brassicaceae";"casual";2;"casual"
"Cas. Wool, grain";"Cas. Wool, grain";2;"casual"
"established and expanding / uncertain/extinct";"established and expanding / uncertain/extinct";2;"alien"
"established / in captivity / cultivated";"established / in captivity / cultivated";2;"alien"
"exotic";"exotic";2;"alien"
"Ext./Cas.";"Ext./Cas.";2;"casual"
"introduced/alien (present, no further details)";"introduced/alien (present, no further details)";2;"alien"
"introduced (present)";"introduced (present)";2;"alien"
"introduced (present to established)";"introduced (present to established)";2;"alien"
"nat inv";"established";2;"established"
"Provenance uncertain";"Provenance uncertain";2;"alien"
"alien (established)";"established";3;"established"
"alien (present to established)";"alien (present to established)";3;"alien"
"Cas. Grain, wool,â€¦ Fabaceae";"Cas. Grain, wool,â€¦ Fabaceae";3;"casual"
"Cas. Hort.";"Cas. Hort.";3;"casual"
"established, potentially invasive";"established";3;"established"
"Exotic";"Exotic";3;"alien"
"introduced/alien (established)";"introduced/alien (established)";3;"established"
"introduced/alien (restricted distribution)";"introduced/alien (restricted distribution)";3;"alien"
"Nat.";"Nat.";3;"established"
"pest";"pest";3;"established"
"uncertain/eradicated";"uncertain/eradicated";3;"eradicated"
"?";"?";4;"alien"
"alien (reported to present)";"alien (reported to present)";4;"alien"
"Cas. Wool";"casual";4;"casual"
"Cas. Wool,â€¦";"Cas. Wool,â€¦";4;"casual"
"introduced/alien (reported)";"introduced/alien (reported)";4;"alien"
"nat o";"established";4;"established"
"provenance uncertain";"provenance uncertain";4;"alien"
"alien (reported)";"alien (reported)";5;"alien"
"Cas. Grain";"Cas. Grain";5;"casual"
"Ext.?";"Ext.?";5;"extinct"
"locally naturalised";"established";5;"established"
"nat#";"nat#";5;"established"
"alien/exotic (in captivity)";"alien/exotic (in captivity)";6;"alien"
"Cas. Wool Geraniaceae";"casual";7;"casual"
"established,  weed of agricultural impact";"established,  weed of agricultural impact";7;"established"
"introduced/alien (widespread)";"introduced/alien (widespread)";7;"established"
"uncertain";"uncertain";7;"alien"
"introduced (localised)";"introduced (localised)";8;"alien"
"Inv.*";"Inv.*";8;"invasive"
"Erroneously reported";"Erroneously reported";9;"##delete"
"introduced/alien (reported to present)";"introduced/alien (reported to present)";9;"alien"
"introduced (present, no further details)";"introduced (present, no further details)";9;"alien"
"introduced/alien (present to established)";"introduced/alien (present to established)";11;"alien"
"Native";"Native";11;"##delete"
"Remnant of cultivation";"Remnant of cultivation";11;"casual"
"Absent";"Absent";12;"##delete"
"ext";"ext";12;"extinct"
"Old casual";"casual";13;"casual"
"introduced";"introduced";16;"alien"
"Partly naturalised";"established";16;"established"
"Ext.";"Ext.";18;"extinct"
"alien/exotic (present)";"alien/exotic (present)";22;"alien"
"Cas.";"Cas.";23;"casual"
"Inv.";"Inv.";28;"invasive"
"Cas.?";"Cas.?";31;"casual"
"New casual";"casual";32;"casual"
"unknown";"unknown";36;"alien"
"Extinct casual";"Extinct casual";39;"casual"
"introduced/alien (present)";"introduced/alien (present)";39;"alien"
"present/controlled";"present/controlled";41;"alien"
"cas";"casual";45;"casual"
"Nat.?";"Nat.?";52;"established"
"established, invasive";"established";54;"established"
"cas o";"casual";56;"casual"
"established and declining";"established and declining";66;"established"
"inv";"inv";66;"invasive"
"natur";"established";74;"established"
"Naturalised";"established";80;"established"
"unk";"unk";80;"alien"
"In";"In";84;"invasive"
"uncertain";"uncertain";131;"alien"
"extinct";"extinct";133;"extinct"
"established/uncertain";"established/uncertain";137;"established"
"Cs";"casual";152;"casual"
"Nt";"established";153;"established"
"uncertain/extinct";"uncertain/extinct";154;"extinct"
"ali-casual";"casual";210;"casual"
"alien/exotic (naturalised)";"established";246;"established"
"Nat.";"established";303;"established"
"Extinct";"Extinct";345;"extinct"
"Not Established";"casual";422;"casual"
"natruralised";"established";427;"established"
"eradicated";"eradicated";464;"eradicated"
"Introduced";"Introduced";472;"alien"
"introduced/alien";"introduced/alien";511;"alien"
"nat";"established";588;"established"
"Alien";"Alien";711;"alien"
"ali-natur";"established";715;"established"
"Unknown";"Unknown";835;"alien"
"not established";"casual";968;"casual"
"casual";"casual";1343;"casual"
"Cas.";"casual";1368;"casual"
"cas";"casual";1399;"casual"
"Naturalized";"established";1788;"established"
"naturalized";"established";1788;"established"
"naturalised";"established";1788;"established"
"established and expanding";"established";2166;"established"
"Not established";"casual";4449;"casual"
"alien";"alien";4737;"alien"
"established";"established";5900;"established"
;;6753;"##missing entry"
"Established";"established";10252;"established"
"Casual";"Casual";;"casual"
"Naturalised";"Naturalised";;"established"
