locationID,location,verbatimLocation,region
20,Australia,Australia,Australasia
256,United States of America,United States,Northern America
255,Hawaii,Hawaiian Islands,Pacific
52,China,China,Eastern Asia
133,Kazakhstan,Kazakhstan,Western Asia
241,Turkmenistan,Turkmenistan,Western Asia
257,Uzbekistan,Uzbekistan,Western Asia
132,Japan,Japan,Eastern Asia
6,Albania,Albania,Europe
276,Zimbabwe,Zimbabwe,Sub-Saharan Africa
3924,Socotra Island,Socotra Island,Saharo-Arabia
110,Hong Kong,China (Hongkong),Eastern Asia
55,Democratic Republic of the Congo,DR Congo,Sub-Saharan Africa
157,Madagascar,Madagascar,Sub-Saharan Africa
248,Taiwan,Taiwan,Eastern Asia
196,Papua New Guinea,Malesia (New Guinea),Southern Asia
70,Denmark,Denmark,Europe
66,Czech Republic,Czech Republic,Europe
1201,Corsica,France (Corsica),Europe
126,Italy,Italy (mainland),Europe
32,Bulgaria,Bulgaria,Europe
86,France,France (mainland),Europe
81,Estonia,Estonia,Europe
185,Norway,Norway,Europe
202,Portugal,Portugal,Europe
231,Sweden,Sweden,Europe
91,United Kingdom,United Kingdom,Europe
121,Ireland,Ireland,Europe
149,Lithuania,Lithuania,Europe
22,Austria,Austria,Europe
229,Slovakia,Slovakia,Europe
124,Iceland,Iceland,Europe
122,Iran,Iran,Western Asia
85,Falkland Islands,Falklands/Malvinas,Antarctic
208,Russia,Russia,Europe
72,Algeria,Algeria,Saharo-Arabia
135,Kyrgyzstan,Kyrgyzstan,Western Asia
80,Spain,Spain,Europe
25,Belgium,Belgium,Europe
214,Singapore,Singapore,Southern Asia
103,Greece,Greece,Europe
125,Israel,Israel,Saharo-Arabia
79,Canary Islands,Canary Island,Sub-Saharan Africa
273,South Africa,South Africa,Sub-Saharan Africa
116,Indonesia,Malesia (Java),Southern Asia
154,Morocco,Morocco,Saharo-Arabia
48,Canada,Canada,Northern America
151,Latvia,Latvia,Europe
184,Netherlands,Netherlands,Europe
197,Poland,Poland,Europe
230,Slovenia,Slovenia,Europe
199,North Korea,North Korea,Eastern Asia
139,South Korea,South Korea,Eastern Asia
207,Romania,Romania,Europe
51,Chile,Chile,Southern America
238,Thailand,Thailand,Southern Asia
58,Colombia,Colombia,Southern America
176,Mayotte,Mayotte,Sub-Saharan Africa
94,Ghana,Ghana,Sub-Saharan Africa
206,Réunion,Reunion,Sub-Saharan Africa
152,Macao,China (Macao),Eastern Asia
118,India,India,Southern Asia
178,New Caledonia,New Caledonia,Pacific
188,New Zealand,New Zealand,Australasia
147,Sri Lanka,Sri Lanka,Southern Asia
65,Cyprus,Cyprus,Western Asia
3925,French Polynesia,French Polynesia,Pacific
181,Nigeria,Nigeria,Sub-Saharan Africa
41,Brazil,Brazil,Southern America
11,Argentina,Argentina,Southern America
14,Antarctica,South Orkney Islands,Antarctic
3914,Antipodes Island,Antipodes,Australasia
200,Azores,Portugal (Azores),Sub-Saharan Africa
245,Tunisia,Tunusia,Saharo-Arabia
246,Turkey,Turkey,Western Asia
67,Germany,Germany,Europe
74,Galapagos,Galapagos,Southern America
127,Sardinia,Italy (Italy- Sardinia),Europe
128,Sicily,Italy (Italy- Sicily),Europe
201,Madeira,Portugal (Madeira),Sub-Saharan Africa
115,Hungary,Hungary,Europe
134,Kenya,Kenya,Sub-Saharan Africa
236,Chad,Chad,Sub-Saharan Africa
194,Philippines,Malesia (Philippines),Southern Asia
142,Lebanon,Lebanon,Saharo-Arabia
83,Finland,Finland,Europe
92,Georgia,Georgia,Western Asia
251,Ukraine,Ukraine,Europe
10,United Arab Emirates,UNITED ARAB EMIRATES,Saharo-Arabia
150,Luxembourg,Luxembourg,Europe
159,Mexico,Mexico,Northern America
39,Bermuda,Bermuda,Central America and the Caribbean
163,Malta,Malta,Europe
254,Alaska,Alaska,Northern America
219,Svalbard and Jan Mayen,Svalbard,Europe
15,Crozet Islands,Crozet,Antarctic
16,Kerguelen Islands,Kerguelen,Antarctic
215,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,Antarctic
75,Egypt,Egypt,Saharo-Arabia
3916,Antigua and Barbuda,Antigua and Barbuda,Central America and the Caribbean
34,Bahamas,Bahamas,Central America and the Caribbean
42,Barbados,Barbados,Central America and the Caribbean
261,Virgin Islands (British),British Virgin Islands,Central America and the Caribbean
62,Cuba,Cuba,Central America and the Caribbean
69,Dominica,Dominica,Central America and the Caribbean
71,Dominican Republic,Dominican Republic,Central America and the Caribbean
104,Grenada,Grenada,Central America and the Caribbean
97,Guadeloupe,Guadeloupe,Central America and the Caribbean
114,Haiti,Haiti,Central America and the Caribbean
129,Jamaica,Jamaica,Central America and the Caribbean
171,Martinique,Martinique,Central America and the Caribbean
170,Montserrat,Montserrat,Central America and the Caribbean
198,Puerto Rico,Puerto Rico,Central America and the Caribbean
262,Virgin Islands (U.S.),United States Virgin Islands,Central America and the Caribbean
226,Serbia,Serbia,Europe
113,Croatia,Croatia,Europe
50,Switzerland,Switzerland,Europe
175,Malaysia,Malesia (Peninsular Malaysia),Southern Asia
240,Tokelau,TOKELAU,Pacific
13,American Samoa,AMERICAN SAMOA,Pacific
63,Christmas Island,CHRISTMAS ISLAND,Southern Asia
84,Fiji,FIJI ISLAND,Pacific
266,Samoa,SAMOA,Pacific
242,Tonga,TONGA,Pacific
265,Wallis and Futuna,WALLIS AND FUTUNA,Pacific
33,Bahrain,BAHRAIN,Saharo-Arabia
140,Kuwait,KUWAIT,Saharo-Arabia
189,Oman,OMAN,Saharo-Arabia
205,Qatar,QATAR,Saharo-Arabia
210,Saudi Arabia,SAUDI ARABIA,Saharo-Arabia
172,Mauritius,MAURITIUS,Sub-Saharan Africa
78,Balearic Islands,Balearic Islands,Europe
21,Tasmania,AUSTRALIA Tasmania,Australasia
59,Comoros,COMOROS,Sub-Saharan Africa
57,Cook Islands,COOK ISLANDS,Pacific
137,Kiribati,KIRIBATI,Pacific
158,Maldives,MALDIVES,Southern Asia
160,Marshall Islands,MARSHALL ISLANDS,Pacific
88,Micronesia,"MICRONESIA, FEDERATED STATES OF",Pacific
180,Norfolk Island,NORFOLK ISLAND,Australasia
217,Saint Helena,SAINT HELENA,Sub-Saharan Africa
233,Seychelles,SEYCHELLES,Sub-Saharan Africa
220,Solomon Islands,SOLOMON ISLANDS,Pacific
252,United States Minor Outlying Islands,UNITED STATES MINOR OUTLYING ISLAND,Pacific
264,Vanuatu,VANUATU,Pacific
46,Botswana,BOTSWANA,Sub-Saharan Africa
43,Brunei,BRUNEI DARUSSALAM,Southern Asia
123,Iraq,IRAQ,Saharo-Arabia
131,Jordan,JORDAN,Saharo-Arabia
148,Lesotho,LESOTHO,Sub-Saharan Africa
168,Mozambique,MOZAMBIQUE,Sub-Saharan Africa
232,Eswatini,SWAZILAND,Sub-Saharan Africa
244,Trinidad and Tobago,Trinidad and Tabago,Central America and the Caribbean
249,Tanzania,Tanzania,Sub-Saharan Africa
216,Ascension,Ascension Islands,Sub-Saharan Africa
174,Malawi,Malawi,Sub-Saharan Africa
227,São Tomé and Príncipe,Sao tome and Principe,Sub-Saharan Africa
250,Uganda,Uganda,Sub-Saharan Africa
108,Guam,Guam,Pacific
40,Bolivia,Bolivia,Southern America
54,Cameroon,Cameroon,Sub-Saharan Africa
64,Cayman Islands,Cayman Islands,Central America and the Caribbean
100,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa
106,Guatemala,Guatemala,Central America and the Caribbean
203,Paraguay,Paraguay,Southern America
234,Syria,Syria,Saharo-Arabia
35,Bosnia and Herzegovina,Bosnia,Europe
165,Montenegro,Montenegro,Europe
218,Tristan da Cunha,Tristan group,Antarctic
274,Zambia,ZAMBIA,Sub-Saharan Africa
193,Peru,Peru,Southern America
186,Nepal,Nepal ,Southern Asia
3918,Lord Howe Islands,Lord Howe Island,Australasia
155,Monaco,MONACO,Europe
95,Gibraltar,GIBRALTAR,Europe
235,Turks and Caicos Islands,TURKS AND CAICOS ISLANDS,Central America and the Caribbean
76,Eritrea,ERITREA,Sub-Saharan Africa
60,Cape Verde,CAPE VERDE,Sub-Saharan Africa
144,Libya,Libya,Saharo-Arabia
87,Faroe Islands,Faroe Islands,Europe
190,Pakistan,PAKISTAN,Southern Asia
272,Yemen,YEMEN,Saharo-Arabia
166,Mongolia,Mongolia,Eastern Asia
1,Aruba,ARUBA,Central America and the Caribbean
37,Belarus,Belarus,Europe
23,Azerbaijan,Azerbaijan,Western Asia
145,Saint Lucia,Saint Lucia,Central America and the Caribbean
259,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Central America and the Caribbean
253,Uruguay,Uruguay,Southern America
31,Bangladesh,Bangladesh,Southern Asia
167,Northern Mariana Islands,NORTHERN MARIANA ISLANDS,Pacific
162,Mali,MALI,Sub-Saharan Africa
177,Namibia,NAMIBIA,Sub-Saharan Africa
191,Panama,Panama,Central America and the Caribbean
138,Saint Kitts and Nevis,Saint Kitts and Nevis,Central America and the Caribbean
61,Costa Rica,Costa Rica,Central America and the Caribbean
260,Venezuela,Venezuela,Southern America
119,Nicobar and Andaman Islands,Andaman and Nicobar Islands,Southern Asia
136,Cambodia,Cambodia,Southern Asia
49,Cocos Islands,Cocos (Keeling) Islands,Southern Asia
141,Laos,Laos,Southern Asia
164,Myanmar,Myanmar,Southern Asia
183,Niue,Niue,Pacific
3922,Ogasawara Islands,Ogasawara Islands,Eastern Asia
195,Palau,Palau,Pacific
173,Rodriguez Island,Rodriguez Island,Sub-Saharan Africa
247,Tuvalu,Tuvalu,Pacific
263,Vietnam,Vietnam,Southern Asia
3923,Zanzibar Island,Zanzibar,Sub-Saharan Africa
73,Ecuador,ECUADOR,Southern America
225,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Northern America
102,Crete,Greece (Crete),Europe
156,Moldova,Moldova,Europe
222,El Salvador,El Salvador,Central America and the Caribbean
107,French Guiana,French Guiana,Southern America
109,Guyana,Guyana,Southern America
101,Aegean,Greece (South Aegean Islands),Europe
111,Heard Island and McDonald Island,Heard and McDonald Islands,Antarctic
187,Nauru,Nauru,Pacific
47,Central African Republic,Central African Republic,Sub-Saharan Africa
3,Angola,Zaire,Sub-Saharan Africa
53,Côte d'Ivoire,Cote d'Ivoire,Sub-Saharan Africa
7,Andorra,ANDORRA,Europe
26,Benin,Benin,Sub-Saharan Africa
82,Ethiopia,Ethiopia,Sub-Saharan Africa
213,Senegal,Senegal,Sub-Saharan Africa
212,Sudan,Sudan,Saharo-Arabia
237,Togo,Togo,Sub-Saharan Africa
19,Amsterdam Island,Amsterdam Islands,Antarctic
5,Åland,�LAND ISLANDS,Europe
223,San Marino,SAN MARINO,Europe
56,Republic of the Congo,Congo,Sub-Saharan Africa
228,Suriname,Suriname,Southern America
169,Mauritania,MAURITANIA,Sub-Saharan Africa
179,Niger,Niger,Sub-Saharan Africa
146,Liechtenstein,Liechtenstein,Europe
3917,Kermadec Islands,Kermadec Islands,Australasia
192,Pitcairn Islands,Pitcairn Island,Pacific
36,Saint-Barthélemy,Saint Barthelemy,Central America and the Caribbean
153,Saint-Martin,Saint Martin,Central America and the Caribbean
4,Anguilla,Anguilla,Central America and the Caribbean
27,Bonaire,Bonaire,Central America and the Caribbean
120,Chagos Archipelago,Chagos Archipelago,Southern Asia
8,Curaçao,Curacao,Central America and the Caribbean
112,Honduras,Honduras,Central America and the Caribbean
182,Nicaragua,Nicaragua,Central America and the Caribbean
3920,Rapa Nui,Easter Island,Pacific
38,Belize,Belize,Central America and the Caribbean
224,Somalia,Somalia,Sub-Saharan Africa
204,Palestine,Palestine,Saharo-Arabia
24,Burundi,Burundi,Sub-Saharan Africa
209,Rwanda,Rwanda,Sub-Saharan Africa
44,Bhutan,Bhutan,Southern Asia
89,Gabon,Gabon,Sub-Saharan Africa
2,Afghanistan,AFGHANISTAN,Western Asia
12,Armenia,ARMENIA,Western Asia
30,Burkina Faso,BURKINA FASO,Sub-Saharan Africa
68,Djibouti,DJIBOUTI,Sub-Saharan Africa
98,Gambia,GAMBIA,Sub-Saharan Africa
96,Guinea,GUINEA,Sub-Saharan Africa
99,Guinea-Bissau,GUINEA-BISSAU,Sub-Saharan Africa
143,Liberia,LIBERIA,Sub-Saharan Africa
161,North Macedonia,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",Europe
221,Sierra Leone,SIERRA LEONE,Sub-Saharan Africa
239,Tajikistan,TAJIKISTAN,Western Asia
77,Western Sahara,WESTERN SAHARA,Saharo-Arabia
9,Sint Maarten,Sint Maarten,Central America and the Caribbean
3919,Fernando de Noronha,Fernando de Noronha,Southern America
243,Timor-Leste,East Timor,Southern Asia
105,Greenland,GREENLAND,Northern America
