unmatched_term,context,occurrenceStatus,degreeOfEstablishment,pathway,habitat
,degreeOfEstablishment,,Cas Wool,,
,degreeOfEstablishment,,"Cas Agric, grain",,
,degreeOfEstablishment,,"Cas Wool, seeds,� Fabaceae",,
,degreeOfEstablishment,,Cas Grain,,
,degreeOfEstablishment,,"Cas Grain, wool,� Fabaceae",,
,degreeOfEstablishment,,"Cas Grain, seeds,� Fabaceae",,
,degreeOfEstablishment,,"Cas Wool, grain",,
,degreeOfEstablishment,,"Cas Grain,�",,
,degreeOfEstablishment,,Nat Agric,,
,degreeOfEstablishment,,Cas Agric,,
,degreeOfEstablishment,,Cas Seeds,,
,degreeOfEstablishment,,"Cas Grain, birdseed Fabaceae",,
,pathway,,,fisheries,
,pathway,,,accidental,
,pathway,,,"Fd, Fi",
,pathway,,,"Food, Fibre",
,pathway,,,Fornamentalornamentald,
,pathway,,,Fornamentalornamentald/Medicinal/ornamental/Wood or forest byprodct,
,pathway,,,Escape & Release,
,pathway,,,introduced,
,pathway,,,aquaculture,
,pathway,,,1,
,pathway,,,D,
,pathway,,,Lessepsian migration,
,pathway,,,Fornamentalornamentald/Medicinal/ornamental,
,pathway,,,Medicinal/ornamental,
,pathway,,,"Bs,O,W",
,pathway,,,Fiber,
,pathway,,,A,
,pathway,,,acc,
,pathway,,,Contaminant,
,pathway,,,Wood/Pulp;Ornamental,
,pathway,,,Wood;Ornamental,
,pathway,,,O,
,pathway,,,Ornamental,
,pathway,,,Fuel,
,pathway,,,"Ornamental, tanbark",
,pathway,,,Escape,
,pathway,,,Agroforestry; Ornamental;Materials,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental//Wood or forest byprodct,
,pathway,,,Agroforestry; Ornamental,
,pathway,,,"O, Ti",
,pathway,,,"Ornamental, timber",
,pathway,,,Forestry,
,pathway,,,Wood,
,pathway,,,"Ornamental, tanbark, timber",
,pathway,,,H,
,pathway,,,Cultivation,
,pathway,,,"H,W",
,pathway,,,uncertain,
,pathway,,,accidental with ships,
,pathway,,,Ui,
,pathway,,,Unintentional,
,pathway,,,Accidental,
,pathway,,,no data,
,pathway,,,other reasons,
,pathway,,,ornamental,
,pathway,,,del,
,pathway,,,4,
,pathway,,,intentional,
,pathway,,,Md,
,pathway,,,Cultivation; Medicinal;Ornamental,
,pathway,,,Medicinal,
,pathway,,,A/D,
,pathway,,,Unintentional;Seed Contaminant,
,pathway,,,Aquaculture,
,pathway,,,Ornamental trade,
,pathway,,,angling/sport,
,pathway,,,Fornamentalornamentald/Medicinal,
,pathway,,,"Ornamentals, Medicines",
,pathway,,,Aquaculture/farming,
,pathway,,,W,
,pathway,,,"3, 4",
,pathway,,,Green manure and forage,
,pathway,,,Agroforestry,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/ornamental/,
,pathway,,,Seed Contaminant,
,pathway,,,Ornamentals,
,pathway,,,Fornamentalornamentald/Medicinal/ornamental/,
,pathway,,,Horticulture,
,pathway,,,Fiber/Fornamentalornamentald/Medicinal/ornamental/,
,pathway,,,accidentally,
,pathway,,,Medicinal/ornamental/,
,pathway,,,"E,W",
,pathway,,,"Gs,H,W",
,pathway,,,Neo,
,pathway,,,"G,T,W",
,pathway,,,vagrant,
,pathway,,,Afforestation,
,pathway,,,"Gs,W",
,pathway,,,native,
,pathway,,,Shelter;Erosion Control;Forage Crop;Wood,
,pathway,,,Release,
,pathway,,,Culinary; Medicinal,
,pathway,,,ornamental/Wood or forest byprodct,
,pathway,,,Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental/,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental/,
,pathway,,,Intentional,
,pathway,,,"2, 6",
,pathway,,,Fornamentalornamentald/ornamental,
,pathway,,,diffused from other countries,
,pathway,,,Fornamentalrage ornamentalr green Medicinalanre/ornamental,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental,
,pathway,,,Forage;Cover;Green Manure Crop,
,pathway,,,"As,W",
,pathway,,,"As,Bs,C,E,G,O,Tn,W",
,pathway,,,"As,Bs,C,O,W",
,pathway,,,Fruit or vegetable,
,pathway,,,"Bs,W",
,pathway,,,"Medicines, Fruit or vegetable",
,pathway,,,"As,Bs,W",
,pathway,,,"Bs,H",
,pathway,,,"A,As,Bs,E,G,O,W",
,pathway,,,"S,Tn,W",
,pathway,,,Fd,
,pathway,,,Food,
,pathway,,,"G,O",
,pathway,,,Fornamentalornamentald/,
,pathway,,,"As,Bs,C,G,O,W",
,pathway,,,"Bs,E,W",
,pathway,,,Cultivation; Ornamental,
,pathway,,,"A,As,Bs,E,G,H,O,W",
,pathway,,,Stocking,
,pathway,,,"As,Bs,G,O",
,pathway,,,G,
,pathway,,,other pest control,
,pathway,,,Contaminant & Stowaway,
,pathway,,,"As,Bs,G,W",
,pathway,,,"Bs,G,W",
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental/Wood or forest byprodct,
,pathway,,,accidental (alone or together with other species),
,pathway,,,"As,G",
,pathway,,,"As,Bs,G,Gs,W",
,pathway,,,Ornamental; Accidental,
,pathway,,,bait,
,pathway,,,D/A,
,pathway,,,Fodder,
,pathway,,,Culinary; Cultivation,
,pathway,,,F,
,pathway,,,Contaminant of aquaculture/farming,
,pathway,,,"G,W",
,pathway,,,"E,G,W",
,pathway,,,"As,B,G,W",
,pathway,,,"G,E,W",
,pathway,,,"G,Gs,W",
,pathway,,,3,
,pathway,,,"As,Bs,O,W",
,pathway,,,"Ornamentals, Fruit or vegetable",
,pathway,,,Seed Contaminant; Ships Ballast; Medicinal,
,pathway,,,"As,G,T",
,pathway,,,"As,Gs",
,pathway,,,"A,As,Gs",
,pathway,,,Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental,
,pathway,,,"G,S",
,pathway,,,Ornamental; Social (Narcotics),
,pathway,,,"Seed Contaminant/(Ornamental, Medicinal)",
,pathway,,,Contaminant of ornamental trade,
,pathway,,,"H,M",
,pathway,,,"2, 3, 4",
,pathway,,,"G,O,W",
,pathway,,,diffusion from neighboring countries,
,pathway,,,"Bs,G",
,pathway,,,other,
,pathway,,,snail control,
,pathway,,,2,
,pathway,,,mosquito control,
,pathway,,,"1, 2",
,pathway,,,Fr,
,pathway,,,"Ornamentals, Green manure and forage",
,pathway,,,Pasture; Turf Grass; Seed Contaminant,
,pathway,,,Agriculture,
,pathway,,,Medicine; Ornamental,
,pathway,,,fill ecological niche,
,pathway,,,Fencing,
,pathway,,,As,
,pathway,,,"Bs,C,W",
,pathway,,,Fiber/Fornamentalornamentald/Medicinal/ornamental,
,pathway,,,Commodity/Seed Contaminant,
,pathway,,,Fornamentalornamentald/Medicinal/,
,pathway,,,Fornamentalrage ornamentalr green Medicinalanre/ornamental/,
,pathway,,,Fodder;Forage,
,pathway,,,"Bs,O",
,pathway,,,"Bs,E,G,W",
,pathway,,,"Cultivation, Escape from confinement, Food, Forage, Horticulture, Medicinal, Ornamental, Research, Hitchhiker, Habitat restoration, Preservation",
,pathway,,,"E,H,W",
,pathway,,,"A,Gs,W",
,pathway,,,Gs,
,pathway,,,"As,G,W",
,pathway,,,"D, a",
,pathway,,,7,
,pathway,,,a,
,pathway,,,"B,Bs,G",
,pathway,,,Bs,
,pathway,,,"Bs,H,W",
,pathway,,,"E,H",
,pathway,,,"Ornamental, Timber",
,pathway,,,Ornamental;Medicinal,
,pathway,,,Non-Food Crop Cultivation,
,pathway,,,"Bs,F",
,pathway,,,forage,
,pathway,,,I,
,pathway,,,"Bs,I,W",
,pathway,,,"A,As,W",
,pathway,,,"Bs,G,O",
,pathway,,,Therapeutic; Plant Contaminant,
,pathway,,,Plantation,
,pathway,,,ornamental/,
,pathway,,,"O,W",
,pathway,,,"As,G,Gs",
,pathway,,,"As,Bs,E,G,W",
,pathway,,,Ornamental;Accidental,
,pathway,,,"A,G,H,W",
,pathway,,,"A,Bs,G,W",
,pathway,,,Intentional / Unintentional,
,pathway,,,Fencing;Ornament,
,pathway,,,"Medicines, Green manure and forage",
,pathway,,,"Bs,G,S,W",
,pathway,,,Medicinal/,
,pathway,,,Accidental transportation,
,pathway,,,"Bs,G,O,W",
,pathway,,,"Bs,C,E,G,O,W",
,pathway,,,"A,Bs,F,W",
,pathway,,,"Fd, Md, O",
,pathway,,,"Food, medicinal, ornamental",
,pathway,,,Fornamentalornamentald/ornamental/Medicinal/,
,pathway,,,"F,W",
,pathway,,,Ornamental;Cultivation,
,pathway,,,B,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/ornamental,
,pathway,,,Ornamental; Hedge Plant,
,pathway,,,"As,Bs,G",
,pathway,,,"G,H",
,pathway,,,V,
,pathway,,,weed control,
,pathway,,,"1, 3, 4, 6",
,pathway,,,Fiber/Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental/,
,pathway,,,"Crop Production, Ornamental, Escape from confinement, Landscape improvement, Medicinal use",
,pathway,,,"Crop production, Ornamental, Horticulture, Escape from confinement, Food, Medicinal use, Botanical garden",
,pathway,,,S,
,pathway,,,"Bs,Tn,W",
,pathway,,,"F,H",
,pathway,,,Timber,
,pathway,,,"Bs,C,H,W",
,pathway,,,"3, 4, 5",
,pathway,,,"I,W",
,pathway,,,"As,Bs",
,pathway,,,"G,Gs",
,pathway,,,Gr,
,pathway,,,Green Manure,
,pathway,,,Fi,
,pathway,,,Fibre,
,pathway,,,Medicines,
,pathway,,,contaminant,
,pathway,,,"Ornamental, Rubber Production",
,pathway,,,phyto-zooplankton control,
,pathway,,,Cultivation; Food; Horticulture,
,pathway,,,"G,I,W",
,pathway,,,Food; Medicianl; Perfume,
,pathway,,,Crop Production,
,pathway,,,"Bs,G,H,O,W",
,pathway,,,Fornamentalornamentald/ornamental/Wood or forest byprodct,
,pathway,,,Fornamentalornamentald/Fornamentalrage ornamentalr green Medicinalanre/Medicinal/,
,pathway,,,"Bs,C,O,W",
,pathway,,,"As,Bs,I,W",
,pathway,,,"As,Bs,G,I,O,W",
,pathway,,,"B,Bs",
,pathway,,,"Gs,H",
,pathway,,,Fodder;Erosion Control;Accidental,
,pathway,,,Fodder;Erosion Control; Seed contaminant,
,pathway,,,"Ornamental, Horticulture, Landscape improvement",
,pathway,,,"Escape from confinement, Ornamental",
,pathway,,,"4, 6",
,pathway,,,"Bs,C,G,O,W",
,pathway,,,"A,Bs",
,pathway,,,Shelter; Erosion Control; Ornamental,
,pathway,,,"B,Bs,C,G,O",
,pathway,,,Transport,
,pathway,,,"Escape from confinement, Horticulture, Ornamental, Medicinal, Forage",
,pathway,,,"Ornamental, Medicinal",
,pathway,,,"H,I",
,pathway,,,"I,T",
,pathway,,,Pasture Grass,
,pathway,,,"B,Bs,G,O,W",
,pathway,,,"B,W",
,pathway,,,"B,Bs,G,W",
,pathway,,,"B,Bs,W",
,pathway,,,Seed Contaminant; Commodity Contaminat; Transport,
,pathway,,,"Bs,F,H,W",
,pathway,,,Fornamentalornamentald/ornamental/,
,pathway,,,Contaminant of stocking,
,pathway,,,intenationally and accidentally,
,pathway,,,Ti,
,pathway,,,Shade;Shelter,
,pathway,,,Plantation (Pulpwood),
,pathway,,,Botanical garden,
,pathway,,,"Escape from confinement, Hedges, Horticulture, Landscape improvement, Ornamental",
,pathway,,,"G,Gs,T",
,pathway,,,"As,I",
,pathway,,,Fornamentalornamentald/Medicinal/ornamental//Wood or forest byprodct,
,pathway,,,"As,Bs,G,I",
,pathway,,,"Bs,G,I,W",
,pathway,,,Ground Cover,
,pathway,,,Ornamental; Permaculture,
,pathway,,,Ornamental;Permaculture,
,pathway,,,"H,I,W",
,pathway,,,"Ornamentals, Unintentional",
,pathway,,,"Bs,F,G",
,pathway,,,off-site preservation,
,pathway,,,"Bs,G,H,W",
,pathway,,,Shade,
,pathway,,,"Bs,F,O",
,pathway,,,"H,S,W",
,pathway,,,Fibre;Ornamental,
,pathway,,,Fibre crop; Ornamental,
,pathway,,,Fornamentalrage ornamentalr green Medicinalanre/Medicinal/,
,pathway,,,"A,,Bs,F,H,O,W",
,pathway,,,"E,G,Tn,W",
,pathway,,,"Bs,H,O,W",
,pathway,,,"E,G,Gs,W",
,pathway,,,"Bs,G,Gs,O,W",
,pathway,,,Medicinal; Cultivation; Ornamental,
,pathway,,,Medicinal;Food;Accidental,
,pathway,,,Ornamental; Horticulture,
,pathway,,,"A,I,T",
,pathway,,,Forage;Erosion Control,
,pathway,,,Cover Crop,
,pathway,,,Ornamental; Forage; Groundcover; Medicinal,
,pathway,,,"Crop production, Escape from confinement, Horticulture, Ornamental, medicinal",
,pathway,,,Seed Ccontaminant; Spice Contaminant,
,pathway,,,Seed Ccontaminant;Spice Contaminant,
,pathway,,,Medicinal;Ornamental,
,pathway,,,& W,
,pathway,,,"Ornamental, Cultivation",
,pathway,,,"G,H,W",
,pathway,,,Ornamental Plants,
,pathway,,,"Bs,G,Tn",
,pathway,,,"Bs,Tn",
,pathway,,,"BsG,H",
,pathway,,,Ornamental; Henna Dye Production,
,pathway,,,Acquatic Plant Trade,
,pathway,,,"& B,W",
,pathway,,,"A,B,G,W",
,pathway,,,"Bs,G,T,W",
,pathway,,,Hay Contaminant; Commodity Contaminant,
,pathway,,,Commodity Contaminant,
,pathway,,,Fiber/Fornamentalornamentald/ornamental,
,pathway,,,Habitat rehabilitation,
,pathway,,,"A,H",
,pathway,,,"Bs,",
,pathway,,,"Forage; Soil Stabilisation, Law/Turf",
,pathway,,,"As,Bs,E,G,O,W",
,pathway,,,"A,G,W",
,pathway,,,"A,W",
,pathway,,,"G,Gs,H",
,pathway,,,Commodity/Seed Contaminant; Ornamental,
,pathway,,,Seed Contaminant; Ornamental,
,pathway,,,Forage; Cover; Soil Improver,
,pathway,,,Plantation; Timber,
,pathway,,,"As,G,Tn,W",
,pathway,,,"C,W",
,pathway,,,"C,G,Tn,W",
,pathway,,,"B,S,W",
,pathway,,,Forage; Soil Improver; Seed Contaminant,
,pathway,,,"A,Bs,Gs,",
,pathway,,,"G,Tn,W",
,pathway,,,"A,Bs,W",
,pathway,,,"Bs,F,G,S,W",
,pathway,,,"A,Bs,",
,pathway,,,Fodder; Forage,
,pathway,,,Forage,
,pathway,,,Pasture; Ornamental,
,pathway,,,Ornamental; Ground Cover,
,pathway,,,Medicinal; Ground Cover,
,pathway,,,Slope and silt stabilization,
,pathway,,,Hedge,
,pathway,,,Soil improvement,
,pathway,,,Ornamental; Botanical Curiosity,
,pathway,,,"Bm,H",
,pathway,,,Bm,
,pathway,,,Fodder; Silkworm Rearing; Horticulture; Timber,
,pathway,,,"Fd, O",
,pathway,,,"Food, ornamental",
,pathway,,,"Cr, Md, O",
,pathway,,,"M,W",
,pathway,,,Social (Smoking); Culitvation,
,pathway,,,"Crop, medicinal, ornamental",
,pathway,,,Culitvation,
,pathway,,,U,
,pathway,,,"Culinary, Medicinal",
,pathway,,,"Ornamentals, Fuel",
,pathway,,,Cultivation; Horticulture,
,pathway,,,"Ornamental, Succulent",
,pathway,,,"Ornamentals, Fruit or vegetable, Green manure and forage",
,pathway,,,Fodder; Agroforestry,
,pathway,,,"Food, Ornamental",
,pathway,,,"Fencing; Fodder,Fruit",
,pathway,,,"S,Tn",
,pathway,,,Ornamental; Culinary; Medicinal; Accidental,
,pathway,,,Rabbit Food;Ornamental,
,pathway,,,"A,Bs,G,O",
,pathway,,,"Green manure and forage, Unintentional",
,pathway,,,"Bs,F,H",
,pathway,,,Ornamental; Soil Improver; Hedge,
,pathway,,,Ornamental; Soil Improver,
,pathway,,,Food Contaminant,
,pathway,,,Forage; Lawn Grass,
,pathway,,,Forage; Fodder,
,pathway,,,Food; Ornamental; Accidental,
,pathway,,,Food; Ornamental,
,pathway,,,Pasture Grass; Soil Conservation,
,pathway,,,Fodder Grass,
,pathway,,,"As,Gs,G,H",
,pathway,,,"A,,E,G,W",
,pathway,,,"Bs,G,E,W",
,pathway,,,"Bs,F,G,O,W",
,pathway,,,"F,G",
,pathway,,,"1, 2, 3",
,pathway,,,Ornamental; Medicinal; Culinary,
,pathway,,,Plant Contaminant,
,pathway,,,Grass; Commodity Contaminant,
,pathway,,,Plant/Seed Contaminant,
,pathway,,,"G,T",
,pathway,,,Commodity Contaminant; Seed Contaminant,
,pathway,,,Commidity Contaminant; Horticultural; Migratory Waterfowl,
,pathway,,,"Bs,G,H,S",
,pathway,,,Fuel;Fodder,
,pathway,,,Ornamental; Fuel; Fodder,
,pathway,,,"2, 3",
,pathway,,,Cultivation; Food,
,pathway,,,"H,O",
,pathway,,,"Medicines, Fuel",
,pathway,,,Ornamental; Agroforestry,
,pathway,,,Horticulture (Rootstock),
,pathway,,,Seed/Plant Contaminant; Medicinal,
,pathway,,,"As,Gs,H",
,pathway,,,Sugarcane Breeding Programs,
,pathway,,,"Bm,Neo",
,pathway,,,"Bs,G,Gs,W",
,pathway,,,Ornamental; Cultivation,
,pathway,,,Ornamental; Oceanic Currents,
,pathway,,,"Bs,I,Tn,W",
,pathway,,,"V,W",
,pathway,,,"H,Neo",
,pathway,,,Ornamental; Medicinal,
,pathway,,,Firewood; Boundary; Afforstation,
,pathway,,,"Bs,C,E,O,W",
,pathway,,,"Bs,GO",
,pathway,,,"A,Bs,G",
,pathway,,,Accidental; Food,
,pathway,,,"As,Bs,G,OW",
,pathway,,,Seed/Plant Contamination; Commodity Contamination,
,pathway,,,Seed Containment; Fibres,
,pathway,,,"Bs,Gs,W",
,pathway,,,"B,G",
,pathway,,,Seed/Plant Contamination,
,pathway,,,Insecticide,
,pathway,,,Fornamentalornamentald/ornamental//Wood or forest byprodct,
,pathway,,,Ornamental; Seed Contaminant,
,pathway,,,"S,V,W",
,pathway,,,"Bs,F,W",
,pathway,,,Cultivation; Fodder; Seed/Plant Contamination; Transport,
,pathway,,,Ornamental; Erosion Control; Revegatation,
,pathway,,,Medicinal/ornamental/Wood or forest byprodct,
,pathway,,,Fuelwood; Fencing,
,pathway,,,"Bs,Co,G,W",
,pathway,,,Ornamental; Medicinal; Perfume; Accidentally,
,pathway,,,"Medicines, Unintentional",
,pathway,,,Fornamentalrage ornamentalr green Medicinalanre/Medicinal/ornamental/Wood or forest byprodct,
,pathway,,,"A,Gs",
,pathway,,,O Ti,
,pathway,,,"Bs,Gs",
,pathway,,,"S,W",
,pathway,,,"Bs,G,Tn,W",
,pathway,,,"A,Bs,G,Tn,W",
,pathway,,,"A,Tn",
,pathway,,,"A,B,Gs",
,pathway,,,"Bs,E,G,Tn,W",
,pathway,,,"E,Tn,W",
,pathway,,,Ornamental; Horticultural,
,pathway,,,"F,G,H",
,pathway,,,Fodder;Hedge Plant,
,pathway,,,Fibre Crop,
,pathway,,,Seed Contaminant; Fodder,
,pathway,,,Medicinal; Accidental,
,pathway,,,Ornamental; Medicinal; Transport,
,pathway,,,"G,Tn",
,pathway,,,"Bs,G,H,Tn,W",
,pathway,,,Forage; Seed Contaminant,
,pathway,,,"A,F",
,habitat,,,,host
,habitat,,,,"Terrestrial, freshwater"
,habitat,,,,"open areas, degraded forest"
,habitat,,,,disturbed habitats
,habitat,,,,"Terrestrial,freshwater"
,habitat,,,,"freshwater lake,ponds,wetlands,roadside ditches"
,habitat,,,,terrestrial|host
,habitat,,,,agricultural and fallow land
,habitat,,,,agricaltural land and abandoned area
,habitat,,,,"open habitat, forest edgs, shrub lands"
,habitat,,,,"agricultural land,roadsides,grasslands"
,habitat,,,,"disturbed habitats, cultivated lands"
,habitat,,,,"lakes,ponds,moist arable lands, paddy fields"
,habitat,,,,"Fallow land, forest margins,wetlands"
,habitat,,,,"Forest clearing,flood plains,riverbanks"
,habitat,,,,"Moist fallow land, forest edges"
,habitat,,,,"Wetlands, rice fields, marshy fallow land"
,habitat,,,,"Agricultural land, orchards and nurseries"
,habitat,,,,"marine, estuarine"
,habitat,,,,"Wetlands,rice fields, slow running streams"
,habitat,,,,"Agricultural land,moist fallow land,forest margins, roadsides"
,habitat,,,,"Terrestrial,freshwater,marine,estuarine"
,habitat,,,,"marine,estuarine"
,habitat,,,,"Wetlands, ponds,lakes slow running streams"
